heart...1.	12x18	12x19	13x16	13x17	13x18	13x19	13x20	13x21	14x15	14x16	14x17	14x18	14x19	14x20	14x21	14x22	14x23	15x15	15x16	15x17	15x18	15x19	15x20	15x21	15x23	15x24	16x15	16x16	16x17	16x18	16x19	16x20	16x21	16x22	16x23	16x24	16x25	16x26	17x15	17x16	17x17	17x18	17x19	17x20	17x21	17x22	17x23	17x24	17x25	17x27	18x14	18x15	18x16	18x17	18x18	18x19	18x20	18x21	18x22	18x23	18x24	18x26	18x27	19x15	19x16	19x17	19x18	19x19	19x20	19x22	19x23	19x24	19x25	20x16	20x17	20x18	20x19	20x20	20x23	20x24	20x25	20x27	20x28	21x24	21x25	21x26	21x27	21x28	22x24	22x25	22x26	22x28	22x29	23x25	23x28	24x25	24x26	24x27	24x28	24x29	25x25	25x26	25x28	25x29
DNPEP	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	1	0	4	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	4	0	0	0	0	0	3	0	1	0	0	0	1	0	0	2	0	3	0	0	0	0	0
INHA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OBSL1	0	2	0	2	0	1	0	4	0	1	1	2	2	1	0	1	0	1	1	0	0	4	2	1	1	1	1	1	0	1	0	0	0	0	0	1	0	2	1	0	2	0	1	0	2	3	3	2	1	3	1	1	0	3	4	3	0	0	1	0	1	1	0	0	0	0	1	0	3	1	1	2	0	0	1	1	1	0	1	3	1	0	0	2	1	0	0	4	1	2	3	1	0	1	1	0	0	0	0	0	1	0	0	0
FAM124B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
SLC12A4	0	0	1	1	1	0	1	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	2	1	0	2	0	0	0	0	0	1	0	0	0	0	0	1	3	0	0	2	0	0	0	0	2	0	0	3	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
ENKD1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0
FAM210B	0	1	0	0	3	0	0	1	1	0	0	2	0	1	0	0	2	0	4	0	1	0	0	0	3	1	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	1	1	0	1	36	7	0	0	0	0	1	1	1	2	0	1	0	21	24	1	0	1	0	0	1	1	3	0	1	1	3	0	0	1	1	1	0	1	0	1	0	0	1	15	0	0	0	0	0	1	0	0	0	2	0	10	3	3	1	1	0	3	2
SNX21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	3	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
TTPAL	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	3	0
PREX1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	1	0	0	2	0	0	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	1	0	0	4	0	0	0
SLC12A5	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
SDC4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
NCOA3	3	0	0	0	1	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
PIGT	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	1	1	0	0	2	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	1	0	1	1	1	1	1	0	0	1	0	2	1	1	0	2	1	0	1	0	2	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	1	1	1	1	2	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
MATN4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
